Student ID,Waiting List,Program,Matlab,R,Github,Excel,SQL,Rstudio,SPSS,ggplot2,shell (terminal / command line),C/C++,Python,Stata,LaTeX,lattice,regular expressions (grep),Sweave/knitr,XML,Web: html css js,dropbox,google drive (formerly docs),R Experience Data Modeling,Gender,Code Editor Used,R Experience Graphics,R Experience Advanced,R Experience Reproducible document,Matlab Experience,Github Experience
22,No,IDSE (master),TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Confident,he/him,RStudio,Confident,A little,A little,A little,A little
23,No,IDSE (master),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,ipynb,Confident,Confident,Confident,A little,Confident
24,Yes,Statistics (master),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,she/her,RStudio,A little,Confident,A little,A little,None
25,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Confident,she/her,RStudio,A little,A little,None,A little,None
26,Yes,Statistics (master),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,she/her,RStudio,A little,A little,Confident,None,None
27,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Confident,he/him,notepad++,Confident,A little,A little,A little,Confident
28,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,he/him,RStudio,A little,A little,Confident,A little,A little
29,Yes,Statistics (master),TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,he/him,RStudio,A little,A little,None,A little,None
30,No,Data Science Certification,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,he/him,Ipython,A little,None,None,None,A little
31,No,QMSS,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Confident,he/him,sublime text,Confident,Confident,A little,A little,Confident
32,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,she/her,RStudio,Confident,Confident,A little,A little,A little
33,No,Other masters,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,A little,A little,Confident,None,None
34,Yes,Other masters,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Confident,she/her,xcode,Confident,A little,A little,Confident,Confident
35,No,IDSE (master),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Confident,he/him,Sublime Text 2,Confident,A little,Expert,Confident,Confident
36,No,Data Science,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,vi/vim,Confident,A little,Expert,A little,Confident
37,No,IDSE (master),TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Confident,he/him,RStudio,Confident,A little,A little,Confident,A little
38,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,A little,A little,A little,None,None
39,No,Data Science Certification,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,RStudio,A little,None,None,Confident,None
40,Yes,Statistics (master),FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Confident,she/her,RStudio,Confident,Confident,None,A little,A little
41,No,IDSE (master),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Confident,he/him,RStudio,Confident,Confident,A little,None,Confident
