Student ID,Waiting List,Program,Matlab,R,Github,Excel,SQL,Rstudio,SPSS,ggplot2,shell (terminal / command line),C/C++,Python,Stata,LaTeX,lattice,regular expressions (grep),Sweave/knitr,XML,Web: html css js,dropbox,google drive (formerly docs),R Experience Data Modeling,Gender,Code Editor Used,R Experience Graphics,R Experience Advanced,R Experience Reproducible document,Matlab Experience,Github Experience
87,No,IDSE (master),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,RStudio,None,None,None,A little,None
88,No,Data Science Certification,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,None,she/her,notepad++,None,None,None,None,A little
89,No,Data Science Certification,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,None,he/him,Sublime,None,None,None,None,A little
90,No,Data Science Certification,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,she/her,RStudio,A little,A little,Confident,None,A little
91,No,IDSE (master),TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Confident,she/her,RStudio,A little,None,A little,None,A little
92,No,Data Science Certification,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,he/him,Sublime Text,None,None,None,None,Confident
93,No,IDSE (master),FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,A little,he/him,Sublime Text / Eclipse,A little,A little,A little,None,Expert
94,No,Data Science Certification,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,A little,he/him,python,A little,None,None,A little,A little
95,No,Data Science Certification,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,vi/vim,None,None,None,A little,A little
96,No,Data Science Certification,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,A little,he/him,notepad++,None,None,None,None,None
97,No,PhD Biomedical Informatics,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,she/her,TextMate,A little,A little,None,None,A little
98,No,Data Science Certification,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Confident,0,RStudio,A little,A little,None,None,A little
99,No,Data Science Certification,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,A little,he/him,sublime,A little,A little,A little,Confident,Confident
100,No,Data Science Certification,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,A little,he/him,"Webstorm, pycharm",None,None,None,None,Expert
101,No,Other masters,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Confident,he/him,Sublime,Confident,Confident,Confident,Confident,Confident
102,No,IDSE (master),FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,he/him,notepad++,None,None,None,None,A little
103,No,Other masters,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Confident,he/him,notepad++,Confident,Confident,Confident,Confident,A little
104,No,IDSE (master),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Confident,he/him,Atom,A little,Confident,None,A little,Confident
105,No,MSDS,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Confident,he/him,RStudio,A little,Confident,None,Confident,A little
106,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,textwrangler,A little,None,None,None,None
107,No,Other masters,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Confident,he/him,Sublime 2,Confident,A little,Confident,None,A little
108,No,Data Science Certification,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,A little,he/him,RStudio,Confident,A little,Confident,A little,Confident
109,No,IDSE (master),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Confident,he/him,RStudio,Confident,Confident,Confident,Confident,Confident
110,No,IDSE (master),FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,textWrangler,A little,None,None,None,None
111,No,Other masters,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,she/her,RStudio,A little,None,A little,None,A little
112,No,Data Science Certification,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,None,she/her,Eclipse ,None,None,None,A little,A little
113,No,IDSE (master),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,A little,he/him,sublime,A little,None,A little,None,A little
114,No,IDSE (master),TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Confident,he/him,vi/vim,A little,A little,A little,Confident,A little
